# ENERGY SUPPLY GROUP 01,,,,
# 57.0 m² of solar panels on the roof of an apartment block in Eindhoven.,,,,
#,,,,
# time [s], power [kW],,Energy produced in kWh,Total kWh
321300,0,,0,
322200,0,,0,
323100,0,,0,
324000,0,,0,
324900,0,,0,
325800,0,,0,
326700,0,,0,
327600,0,,0,
328500,0,,0,
329400,0,,0,
330300,0,,0,
331200,0,,0,
332100,0,,0,
333000,0,,0,
333900,0,,0,
334800,0,,0,
335700,0,,0,
336600,0,,0,
337500,0,,0,
338400,0,,0,
339300,0,,0,
340200,0,,0,
341100,0,,0,
342000,0,,0,
342900,0,,0,
343800,0,,0,
344700,0,,0,
345600,0,,0,
346500,0,,0,
347400,0,,0,
348300,0,,0,
349200,0,,0,
350100,0,,0,
351000,0,,0,
351900,0,,0,
352800,0,,0,
353700,0,,0,
354600,0,,0,
355500,0,,0,
356400,0,,0,
357300,0,,0,
358200,0,,0,
359100,0,,0,
360000,0,,0,
360900,0,,0,
361800,0,,0,
362700,0,,0,
363600,0,,0,
364500,0,,0,
365400,0,,0,
366300,0,,0,
367200,0,,0,
368100,0,,0,
369000,0,,0,
369900,0,,0,
370800,0,,0,
371700,0,,0,
372600,0,,0,
373500,0,,0,
374400,0.178435,,0.04460875,
375300,0.346374,,0.0865935,
376200,0.566793,,0.14169825,
377100,0.797709,,0.19942725,
378000,1.028625,,0.25715625,
378900,1.259541,,0.31488525,
379800,1.490457,,0.37261425,
380700,1.710876,,0.427719,
381600,1.899807,,0.47495175,
382500,2.067746,,0.5169365,
383400,2.214693,,0.55367325,
384300,2.361639,,0.59040975,
385200,2.456105,,0.61402625,
386100,2.529578,,0.6323945,
387000,2.561066,,0.6402665,
387900,2.592555,,0.64813875,
388800,2.582059,,0.64551475,
389700,2.529578,,0.6323945,
390600,2.456105,,0.61402625,
391500,2.340647,,0.58516175,
392400,2.214693,,0.55367325,
393300,2.067746,,0.5169365,
394200,1.889311,,0.47232775,
395100,1.679388,,0.419847,
396000,1.469464,,0.367366,
396900,1.238548,,0.309637,
397800,0.997136,,0.249284,
398700,0.755724,,0.188931,
399600,0.524809,,0.13120225,
400500,0.314885,,0.07872125,
401400,0.146946,,0.0367365,
402300,0,,0,
403200,0,,0,
404100,0,,0,
405000,0,,0,
405900,0,,0,
406800,0,,0,
407700,0,,0,
408600,0,,0,
409500,0,,0,
410400,0,,0,
411300,0,,0,
412200,0,,0,
413100,0,,0,
414000,0,,0,
414900,0,,0,
415800,0,,0,
416700,0,,0,
417600,0,,0,
418500,0,,0,
419400,0,,0,
420300,0,,0,
421200,0,,0,
422100,0,,0,
423000,0,,0,
423900,0,,0,
424800,0,,0,
425700,0,,0,
426600,0,,0,
427500,0,,0,
428400,0,,0,
429300,0,,0,
430200,0,,0,
431100,0,,0,
432000,0,,0,
432900,0,,0,
433800,0,,0,
434700,0,,0,
435600,0,,0,
436500,0,,0,
437400,0,,0,
438300,0,,0,
439200,0,,0,
440100,0,,0,
441000,0,,0,
441900,0,,0,
442800,0,,0,
443700,0,,0,
444600,0,,0,
445500,0,,0,
446400,0,,0,
447300,0,,0,
448200,0,,0,
449100,0,,0,
450000,0,,0,
450900,0,,0,
451800,0,,0,
452700,0,,0,
453600,0,,0,
454500,0,,0,
455400,0,,0,
456300,0,,0,
457200,0,,0,
458100,0,,0,
459000,0,,0,
459900,0,,0,
460800,0.188931,,0.04723275,
461700,0.377862,,0.0944655,
462600,0.608778,,0.1521945,
463500,0.85019,,0.2125475,
464400,1.102098,,0.2755245,
465300,1.34351,,0.3358775,
466200,1.574426,,0.3936065,
467100,1.794846,,0.4487115,
468000,1.983777,,0.49594425,
468900,2.162212,,0.540553,
469800,2.309158,,0.5772895,
470700,2.435112,,0.608778,
471600,2.540074,,0.6350185,
472500,2.603051,,0.65076275,
473400,2.645036,,0.661259,
474300,2.655532,,0.663883,
475200,2.645036,,0.661259,
476100,2.603051,,0.65076275,
477000,2.529578,,0.6323945,
477900,2.41412,,0.60353,
478800,2.288166,,0.5720415,
479700,2.120227,,0.53005675,
480600,1.952288,,0.488072,
481500,1.742365,,0.43559125,
482400,1.532441,,0.38311025,
483300,1.301525,,0.32538125,
484200,1.060114,,0.2650285,
485100,0.808205,,0.20205125,
486000,0.566793,,0.14169825,
486900,0.346374,,0.0865935,
487800,0.167939,,0.04198475,
488700,0,,0,
489600,0,,0,
490500,0,,0,
491400,0,,0,
492300,0,,0,
493200,0,,0,
494100,0,,0,
495000,0,,0,
495900,0,,0,
496800,0,,0,
497700,0,,0,
498600,0,,0,
499500,0,,0,
500400,0,,0,
501300,0,,0,
502200,0,,0,
503100,0,,0,
504000,0,,0,
504900,0,,0,
505800,0,,0,
506700,0,,0,
507600,0,,0,
508500,0,,0,
509400,0,,0,
510300,0,,0,
511200,0,,0,
512100,0,,0,
513000,0,,0,
513900,0,,0,
514800,0,,0,
515700,0,,0,
516600,0,,0,
517500,0,,0,
518400,0,,0,
519300,0,,0,
520200,0,,0,
521100,0,,0,
522000,0,,0,
522900,0,,0,
523800,0,,0,
524700,0,,0,
525600,0,,0,
526500,0,,0,
527400,0,,0,
528300,0,,0,
529200,0,,0,
530100,0,,0,
531000,0,,0,
531900,0,,0,
532800,0,,0,
533700,0,,0,
534600,0,,0,
535500,0,,0,
536400,0,,0,
537300,0,,0,
538200,0,,0,
539100,0,,0,
540000,0,,0,
540900,0,,0,
541800,0,,0,
542700,0,,0,
543600,0,,0,
544500,0,,0,
545400,0,,0,
546300,0,,0,
547200,0.188931,,0.04723275,
548100,0.377862,,0.0944655,
549000,0.608778,,0.1521945,
549900,0.829198,,0.2072995,
550800,1.081106,,0.2702765,
551700,1.312022,,0.3280055,
552600,1.532441,,0.38311025,
553500,1.721372,,0.430343,
554400,1.910304,,0.477576,
555300,2.078242,,0.5195605,
556200,2.225189,,0.55629725,
557100,2.319654,,0.5799135,
558000,2.41412,,0.60353,
558900,2.477097,,0.61927425,
559800,2.508585,,0.62714625,
560700,2.508585,,0.62714625,
561600,2.498089,,0.62452225,
562500,2.445608,,0.611402,
563400,2.382631,,0.59565775,
564300,2.256677,,0.56416925,
565200,2.141219,,0.53530475,
566100,1.994273,,0.49856825,
567000,1.826334,,0.4565835,
567900,1.626907,,0.40672675,
568800,1.416983,,0.35424575,
569700,1.196564,,0.299141,
570600,0.976144,,0.244036,
571500,0.745228,,0.186307,
572400,0.514312,,0.128578,
573300,0.314885,,0.07872125,
574200,0.146946,,0.0367365,
575100,0,,0,
576000,0,,0,
576900,0,,0,
577800,0,,0,
578700,0,,0,
579600,0,,0,
580500,0,,0,
581400,0,,0,
582300,0,,0,
583200,0,,0,
584100,0,,0,
585000,0,,0,
585900,0,,0,
586800,0,,0,
587700,0,,0,
588600,0,,0,
589500,0,,0,
590400,0,,0,
591300,0,,0,
592200,0,,0,
593100,0,,0,
594000,0,,0,
594900,0,,0,
595800,0,,0,
596700,0,,0,
597600,0,,0,
598500,0,,0,
599400,0,,0,
600300,0,,0,
601200,0,,0,
602100,0,,0,
603000,0,,0,
603900,0,,0,
604800,0,,0,
605700,0,,0,
606600,0,,0,
607500,0,,0,
608400,0,,0,
609300,0,,0,
610200,0,,0,
611100,0,,0,
612000,0,,0,
612900,0,,0,
613800,0,,0,
614700,0,,0,
615600,0,,0,
616500,0,,0,
617400,0,,0,
618300,0,,0,
619200,0,,0,
620100,0,,0,
621000,0,,0,
621900,0,,0,
622800,0,,0,
623700,0,,0,
624600,0,,0,
625500,0,,0,
626400,0,,0,
627300,0,,0,
628200,0,,0,
629100,0,,0,
630000,0,,0,
630900,0,,0,
631800,0,,0,
632700,0,,0,
633600,0.13645,,0.0341125,
634500,0.304389,,0.07609725,
635400,0.503816,,0.125954,
636300,0.703244,,0.175811,
637200,0.923663,,0.23091575,
638100,1.144083,,0.28602075,
639000,1.354006,,0.3385015,
639900,1.521945,,0.38048625,
640800,1.70038,,0.425095,
641700,1.868319,,0.46707975,
642600,2.004769,,0.50119225,
643500,2.109731,,0.52743275,
644400,2.214693,,0.55367325,
645300,2.27767,,0.5694175,
646200,2.319654,,0.5799135,
647100,2.393128,,0.598282,
648000,2.382631,,0.59565775,
648900,2.340647,,0.58516175,
649800,2.27767,,0.5694175,
650700,2.162212,,0.540553,
651600,2.046754,,0.5116885,
652500,1.899807,,0.47495175,
653400,1.731869,,0.43296725,
654300,1.521945,,0.38048625,
655200,1.322518,,0.3306295,
656100,1.112594,,0.2781485,
657000,0.892175,,0.22304375,
657900,0.692747,,0.17318675,
658800,0.482824,,0.120706,
659700,0.283397,,0.07084925,
660600,0.115458,,0.0288645,
661500,0,,0,
662400,0,,0,
663300,0,,0,
664200,0,,0,
665100,0,,0,
666000,0,,0,
666900,0,,0,
667800,0,,0,
668700,0,,0,
669600,0,,0,
670500,0,,0,
671400,0,,0,
672300,0,,0,
673200,0,,0,
674100,0,,0,
675000,0,,0,
675900,0,,0,
676800,0,,0,
677700,0,,0,
678600,0,,0,
679500,0,,0,
680400,0,,0,
681300,0,,0,
682200,0,,0,
683100,0,,0,
684000,0,,0,
684900,0,,0,
685800,0,,0,
686700,0,,0,
687600,0,,0,
688500,0,,0,
689400,0,,0,
690300,0,,0,
691200,0,,0,
692100,0,,0,
693000,0,,0,
693900,0,,0,
694800,0,,0,
695700,0,,0,
696600,0,,0,
697500,0,,0,
698400,0,,0,
699300,0,,0,
700200,0,,0,
701100,0,,0,
702000,0,,0,
702900,0,,0,
703800,0,,0,
704700,0,,0,
705600,0,,0,
706500,0,,0,
707400,0,,0,
708300,0,,0,
709200,0,,0,
710100,0,,0,
711000,0,,0,
711900,0,,0,
712800,0,,0,
713700,0,,0,
714600,0,,0,
715500,0,,0,
716400,0,,0,
717300,0,,0,
718200,0,,0,
719100,0,,0,
720000,0.188931,,0.04723275,
720900,0.367366,,0.0918415,
721800,0.587786,,0.1469465,
722700,0.85019,,0.2125475,
723600,1.091602,,0.2729005,
724500,1.354006,,0.3385015,
725400,1.584922,,0.3962305,
726300,1.83683,,0.4592075,
727200,2.036258,,0.5090645,
728100,2.214693,,0.55367325,
729000,2.372135,,0.59303375,
729900,2.519082,,0.6297705,
730800,2.624043,,0.65601075,
731700,2.697517,,0.67437925,
732600,2.739501,,0.68487525,
733500,2.739501,,0.68487525,
734400,2.729005,,0.68225125,
735300,2.68702,,0.671755,
736200,2.603051,,0.65076275,
737100,2.487593,,0.62189825,
738000,2.351143,,0.58778575,
738900,2.204196,,0.551049,
739800,2.025761,,0.50644025,
740700,1.815838,,0.4539595,
741600,1.595418,,0.3988545,
742500,1.364503,,0.34112575,
743400,1.112594,,0.2781485,
744300,0.871182,,0.2177955,
745200,0.619274,,0.1548185,
746100,0.398855,,0.09971375,
747000,0.199427,,0.04985675,
747900,0,,0,
748800,0,,0,
749700,0,,0,
750600,0,,0,
751500,0,,0,
752400,0,,0,
753300,0,,0,
754200,0,,0,
755100,0,,0,
756000,0,,0,
756900,0,,0,
757800,0,,0,
758700,0,,0,
759600,0,,0,
760500,0,,0,
761400,0,,0,
762300,0,,0,
763200,0,,0,
764100,0,,0,
765000,0,,0,
765900,0,,0,
766800,0,,0,
767700,0,,0,
768600,0,,0,
769500,0,,0,
770400,0,,0,
771300,0,,0,
772200,0,,0,
773100,0,,0,
774000,0,,0,
774900,0,,0,
775800,0,,0,
776700,0,,0,
777600,0,,0,
778500,0,,0,
779400,0,,0,
780300,0,,0,
781200,0,,0,
782100,0,,0,
783000,0,,0,
783900,0,,0,
784800,0,,0,
785700,0,,0,
786600,0,,0,
787500,0,,0,
788400,0,,0,
789300,0,,0,
790200,0,,0,
791100,0,,0,
792000,0,,0,
792900,0,,0,
793800,0,,0,
794700,0,,0,
795600,0,,0,
796500,0,,0,
797400,0,,0,
798300,0,,0,
799200,0,,0,
800100,0,,0,
801000,0,,0,
801900,0,,0,
802800,0,,0,
803700,0,,0,
804600,0,,0,
805500,0,,0,
806400,0.22042,,0.055105,
807300,0.419847,,0.10496175,
808200,0.650763,,0.16269075,
809100,0.913167,,0.22829175,
810000,1.165075,,0.29126875,
810900,1.416983,,0.35424575,
811800,1.637403,,0.40935075,
812700,1.868319,,0.46707975,
813600,2.078242,,0.5195605,
814500,2.256677,,0.56416925,
815400,2.403624,,0.600906,
816300,2.540074,,0.6350185,
817200,2.645036,,0.661259,
818100,2.708013,,0.67700325,
819000,2.749997,,0.68749925,
819900,2.77099,,0.6927475,
820800,2.760494,,0.6901235,
821700,2.718509,,0.67962725,
822600,2.645036,,0.661259,
823500,2.55057,,0.6376425,
824400,2.424616,,0.606154,
825300,2.267173,,0.56679325,
826200,2.088738,,0.5221845,
827100,1.889311,,0.47232775,
828000,1.668892,,0.417223,
828900,1.437976,,0.359494,
829800,1.186068,,0.296517,
830700,0.934159,,0.23353975,
831600,0.682251,,0.17056275,
832500,0.440839,,0.11020975,
833400,0.230916,,0.057729,
834300,0,,0,
835200,0,,0,
836100,0,,0,
837000,0,,0,
837900,0,,0,
838800,0,,0,
839700,0,,0,
840600,0,,0,
841500,0,,0,
842400,0,,0,
843300,0,,0,
844200,0,,0,
845100,0,,0,
846000,0,,0,
846900,0,,0,
847800,0,,0,
848700,0,,0,
849600,0,,0,
850500,0,,0,
851400,0,,0,
852300,0,,0,
853200,0,,0,
854100,0,,0,
855000,0,,0,
855900,0,,0,
856800,0,,0,
857700,0,,0,
858600,0,,0,
859500,0,,0,
860400,0,,0,
861300,0,,0,
862200,0,,0,
863100,0,,0,
864000,0,,0,
864900,0,,0,
865800,0,,0,
866700,0,,0,
867600,0,,0,
868500,0,,0,
869400,0,,0,
870300,0,,0,
871200,0,,0,
872100,0,,0,
873000,0,,0,
873900,0,,0,
874800,0,,0,
875700,0,,0,
876600,0,,0,
877500,0,,0,
878400,0,,0,
879300,0,,0,
880200,0,,0,
881100,0,,0,
882000,0,,0,
882900,0,,0,
883800,0,,0,
884700,0,,0,
885600,0,,0,
886500,0,,0,
887400,0,,0,
888300,0,,0,
889200,0,,0,
890100,0,,0,
891000,0,,0,
891900,0,,0,
892800,0.209923,,0.05248075,
893700,0.409351,,0.10233775,
894600,0.62977,,0.1574425,
895500,0.881679,,0.22041975,
896400,1.123091,,0.28077275,
897300,1.364503,,0.34112575,
898200,1.595418,,0.3988545,
899100,1.784349,,0.44608725,
900000,1.983777,,0.49594425,
900900,2.162212,,0.540553,
901800,2.309158,,0.5772895,
902700,2.403624,,0.600906,
903600,2.508585,,0.62714625,
904500,2.592555,,0.64813875,
905400,2.63454,,0.658635,
906300,2.645036,,0.661259,
907200,2.645036,,0.661259,
908100,2.603051,,0.65076275,
909000,2.540074,,0.6350185,
909900,2.456105,,0.61402625,
910800,2.33015,,0.5825375,
911700,2.183204,,0.545801,
912600,2.004769,,0.50119225,
913500,1.815838,,0.4539595,
914400,1.605915,,0.40147875,
915300,1.374999,,0.34374975,
916200,1.133587,,0.28339675,
917100,0.881679,,0.22041975,
918000,0.650763,,0.16269075,
918900,0.419847,,0.10496175,
919800,0.230916,,0.057729,
920700,0,,0,
921600,0,,0,
922500,0,,0,
923400,0,,0,
924300,0,,0,
925200,0,,0,
926100,0,,0,
927000,0,,0,
927900,0,,0,
928800,0,,0,
929700,0,,0,
930600,0,,0,
931500,0,,0,
932400,0,,0,
933300,0,,0,
934200,0,,0,
935100,0,,0,
936000,0,,0,
936900,0,,0,
937800,0,,0,
938700,0,,0,
939600,0,,0,
940500,0,,0,
941400,0,,0,
942300,0,,0,
943200,0,,0,
944100,0,,0,
945000,0,,0,
945900,0,,0,
946800,0,,0,
947700,0,,0,
948600,0,,0,
949500,0,,0,
950400,0,,0,
951300,0,,0,
952200,0,,0,
953100,0,,0,
954000,0,,0,
954900,0,,0,
955800,0,,0,
956700,0,,0,
957600,0,,0,
958500,0,,0,
959400,0,,0,
960300,0,,0,
961200,0,,0,
962100,0,,0,
963000,0,,0,
963900,0,,0,
964800,0,,0,
965700,0,,0,
966600,0,,0,
967500,0,,0,
968400,0,,0,
969300,0,,0,
970200,0,,0,
971100,0,,0,
972000,0,,0,
972900,0,,0,
973800,0,,0,
974700,0,,0,
975600,0,,0,
976500,0,,0,
977400,0,,0,
978300,0,,0,
979200,0.22042,,0.055105,
980100,0.419847,,0.10496175,
981000,0.650763,,0.16269075,
981900,0.892175,,0.22304375,
982800,1.144083,,0.28602075,
983700,1.374999,,0.34374975,
984600,1.616411,,0.40410275,
985500,1.815838,,0.4539595,
986400,2.015265,,0.50381625,
987300,2.204196,,0.551049,
988200,2.351143,,0.58778575,
989100,2.477097,,0.61927425,
990000,2.571562,,0.6428905,
990900,2.655532,,0.663883,
991800,2.697517,,0.67437925,
992700,2.68702,,0.671755,
993600,2.676524,,0.669131,
994500,2.63454,,0.658635,
995400,2.571562,,0.6428905,
996300,2.445608,,0.611402,
997200,2.33015,,0.5825375,
998100,2.183204,,0.545801,
999000,2.015265,,0.50381625,
999900,1.826334,,0.4565835,
1000800,1.616411,,0.40410275,
1001700,1.385495,,0.34637375,
1002600,1.154579,,0.28864475,
1003500,0.923663,,0.23091575,
1004400,0.671755,,0.16793875,
1005300,0.451335,,0.11283375,
1006200,0.241412,,0.060353,
1007100,0,,0,
1008000,0,,0,
1008900,0,,0,
1009800,0,,0,
1010700,0,,0,
1011600,0,,0,
1012500,0,,0,
1013400,0,,0,
1014300,0,,0,
1015200,0,,0,
1016100,0,,0,
1017000,0,,0,
1017900,0,,0,
1018800,0,,0,
1019700,0,,0,
1020600,0,,0,
1021500,0,,0,
1022400,0,,0,
1023300,0,,0,
1024200,0,,0,
1025100,0,,0,
1026000,0,,0,
1026900,0,,0,
1027800,0,,0,
1028700,0,,0,
1029600,0,,0,
1030500,0,,0,
1031400,0,,0,
1032300,0,,0,
1033200,0,,0,
1034100,0,,0,
1035000,0,,0,
1035900,0,,0,
1036800,0,,0,
1037700,0,,0,
1038600,0,,0,
1039500,0,,0,
1040400,0,,0,
1041300,0,,0,
1042200,0,,0,
1043100,0,,0,
1044000,0,,0,
1044900,0,,0,
1045800,0,,0,
1046700,0,,0,
1047600,0,,0,
1048500,0,,0,
1049400,0,,0,
1050300,0,,0,
1051200,0,,0,
1052100,0,,0,
1053000,0,,0,
1053900,0,,0,
1054800,0,,0,
1055700,0,,0,
1056600,0,,0,
1057500,0,,0,
1058400,0,,0,
1059300,0,,0,
1060200,0,,0,
1061100,0,,0,
1062000,0,,0,
1062900,0,,0,
1063800,0,,0,
1064700,0,,0,
1065600,0.199427,,0.04985675,
1066500,0.388358,,0.0970895,
1067400,0.608778,,0.1521945,
1068300,0.839694,,0.2099235,
1069200,1.081106,,0.2702765,
1070100,1.322518,,0.3306295,
1071000,1.542937,,0.38573425,
1071900,1.763357,,0.44083925,
1072800,1.973281,,0.49332025,
1073700,2.141219,,0.53530475,
1074600,2.298662,,0.5746655,
1075500,2.424616,,0.606154,
1076400,2.540074,,0.6350185,
1077300,2.613547,,0.65338675,
1078200,2.655532,,0.663883,
1079100,2.729005,,0.68225125,
1080000,2.718509,,0.67962725,
1080900,2.68702,,0.671755,
1081800,2.624043,,0.65601075,
1082700,2.519082,,0.6297705,
1083600,2.393128,,0.598282,
1084500,2.256677,,0.56416925,
1085400,2.088738,,0.5221845,
1086300,1.899807,,0.47495175,
1087200,1.689884,,0.422471,
1088100,1.458968,,0.364742,
1089000,1.228052,,0.307013,
1089900,0.955152,,0.238788,
1090800,0.703244,,0.175811,
1091700,0.472328,,0.118082,
1092600,0.262404,,0.065601,
1093500,0,,0,
1094400,0,,0,
1095300,0,,0,
1096200,0,,0,
1097100,0,,0,
1098000,0,,0,
